"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Gaming","Laptop ASUS TUF Gaming A14 FA401WV-RG062WS",41990000,40,90,"asus","tuf","1.5","Trang bị chip Ryzen AI 9 HX mạnh mẽ, cùng với 16GB RAM và ổ cứng SSD 1TB PCIe, mang lại hiệu năng cao để đáp ứng nhu cầu chơi game và làm việc. Màn hình 14 inch 2.5K với tần số quét 165Hz cung cấp trải nghiệm hiển thị sắc nét, mượt mà, đem lại lợi thế khi chơi game hoặc xem phim. Trang bị card đồ họa rời NVIDIA RTX 4060, cho phép người dùng tận hưởng những tựa game đồ họa cao và các tác vụ sáng tạo nội dung. Thiết kế chắc chắn và trọng lượng nhẹ 1.46kg giúp laptop di động linh hoạt, phù hợp với nhu cầu di chuyển của người dùng. Tích hợp MUX Switch để người dùng có thể chuyển đổi giữa card đồ họa rời và card tích hợp, tùy theo nhu cầu sử dụng.","Xám","2023","Nhật Bản","NVIDIA GeForce RTX 4060 8GB GDDR6 AMD Radeon Graphics","AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 cores, 24 Threads)  AMD Ryzen AI up to 81 TOPs","16GB","LPDDR5X 7500 Onboard ̣(2x 8GB)","16GB LPDDR5X 7500 Onboard ̣(2x 8GB)","1TB PCIe 4.0 NVMe M.2 SSD (Hỗ trợ nâng cấp tối đa 2TB)","1TB","165 Hz","Tấm nền IPS","14 inches","Độ sáng 400nitsĐộ phủ màu SRGB 100.00%Màn hình chống chóiG-Sync","2560 x 1600 pixels (2K)","Công nghệ chống ồn AI Dolby Atmos Chứng nhận Hi-Res (cho tai nghe) Hỗ trợ Microsoft Cortana trường gần/trường xa","","31.1 x 22.7 x 1.69 ~ 1.99 cm (W x D x H)","1.46 Kg","Wi-Fi 6, MUX Switch","Bàn phím Chiclet có đèn nền đèn đơn với phím Copilot","Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng Bộ xử lý bảo mật Pluton Máy tính lõi bảo mật (Cấp độ 3)","1080P FHD IR Camera for Windows Hello","Windows 11 Home","73WHrs, 4S1P, 4-cell Li-ion (Sạc lại từ 0-50% trong 30 phút)","Wi-Fi 6E(802.11ax) (Triple band) 2*2","Bluetooth 5.3","1x Type-C USB 4 (DisplayPort / power delivery) 1x USB 3.2 Gen 2 Type-C (DisplayPort) 2x USB 3.2 Gen 2 Type-A 1x Đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack"
"Văn phòng","Laptop MSI Prestige 13 EVO A13M-081VN",25000000,98,86,"msi","prestige","4.3","Sở hữu thiết kế gọn nhẹ, sang trọng với trọng lượng ấn tượng chỉ 0.99kg CPU I7-1360P hỗ trợ tốt cho công việc văn phòng và chỉnh ảnh nhẹ Màn hình 13.3 inch Full HD+ giúp hình ảnh được rõ nét, chân thật RAM 16GB giúp mở được nhiều tab công việc nhưng khô lo chậm, lag máy Ổ cứng siêu khủng với dung lượng 1TB SDD giúp bạn vô tư lưu trữ dữ liệu","Xám","2021","Đài Loan","Intel Iris Xe graphics","Intel core i7-1360P  (up to 5.0 GHz, 12 lõi / 16 luồng, 18 MB)","16GB","DDR5 4800MHz","16GB DDR5 4800MHz 1 thanh RAM","1TB NVMe PCIe Gen4x4","1TB","","Tấm nền IPS","13.3 inches","Chống chói, góc mở 180 độ","1920 x 1200 pixels (FullHD+)","Hi-Res Audio, Nahimic","","299 x 210 x 16.9 mm","0.99 kg","Wi-Fi 6","Bàn phím đèn trắng","FaceID(tuỳ phiên bản)","IR FHD type (30fps 1080p)","Windows 11 Home","75Wh 4 Cell","Killer Wi-Fi 6E 802.11ax","Bluetooth 5.3","2 x Type-C(support ThunderBolt4 / Power Delivery)1 x Type-A USB3.2 Gen11 x HDMI1 x Jack cắm tai nghe1 x Micro SD"
"Gaming","Laptop Lenovo Legion Slim 5 16IRH8 82YA00BUVN",18000000,57,37,"lenovo","legion","3.7","Sở hữu thiết kế sang trọng với gam màu xám tinh tế, dễ dàng thu hút người nhìn Cân mọi tác vụ học tập với CPU Intel Core i7 - 13700H Card màn hình NVIDIA GeForce RTX 4060 hỗ trợ tối đa việc chơi game, chỉnh sửa hình ảnh Bộ nhớ SSD 512 GB cho phép bạn lưu trữ nhiều dữ liệu mà không cần sao chép ra ngoài Màn hình 16 inch cùng công nghệ chống chói, giảm bớt ánh sáng xanh, giúp bạn có những giây phút tận hưởng hình ảnh sắc nét","Xám","2023","Hàn Quốc","NVIDIA GeForce RTX 4060","Intel Core i7-13700H 2.4 GHz (Up to 5.0 GHz, 14 lõi / 20 luồng, 24 MB Cache)","16GB","GDDR5 5200MHz","16GB GDDR5 5200MHz 2 thanh RAM 8GB SO-DIMM DDR5-5200","512GB PCIe SSD1 Khe SSD M.2 2280 trống, tối đa 1TB","512GB","165Hz","Tấm nền IPS","16 inches","Công nghệ đồng bộ khung hình Độ sáng tối đa 300 nits Độ phủ màu 100% sRGB Màn hình chống chói Ánh sáng xanh dương thấp","2560 x 1600 (WQXGA)","High Definition (HD) Audio, Realtek ALC3287 codec","","359.7 x 260.3 x 19.9 - 25.2 mm","2.4 kg","Wi-Fi 6","4-Zone RGB Backlit","","FHD 1080p với màn trập camera","Windows 11 Home","80Wh","Wi-Fi 6E 11ax (2x2)","Bluetooth 5.1","1x USB 3.2 thế hệ thứ 21x USB 3.2 Gen 2(Always On)1x USB-C 3.2 Gen 21x USB-C 3.2 Gen 2 và DisplayPort 1.41x HDMI1x Đầu đọc thẻ 1x 1x Ethernet 1x Giắc cắm kết hợp tai nghe / micrô (3,5 mm) 1x Đầu nối nguồn"
"Văn phòng","Laptop Dell XPS 13 9370",25000000,72,49,"dell","xps",0,"CPU Intel Core i7 8550U hiệu năng mạnh mẽ giúp bạn giải quyết tốt mọi công việc hàng ngày. RAM 8 GB đa nhiệm nhanh chóng, thiết kế đồ họa, chỉnh sửa ảnh mượt mà. Laptop siêu mỏng nhẹ với vỏ kim loại nguyên khối, trọng lượng 1.21 kg dễ dàng mang theo đến bất cứ đâu.  Ổ cứng SSD 256 GB vận hành nhanh chóng, mở máy chỉ trong tích tắc. Màn hình 13.3 inch Full HD cho hình ảnh sắc nét, màu sắc tái hiện một cách chân thực nhất. Tấm nền IPS cho góc nhìn rộng, hình ảnh không bị biến đổi từ mọi góc nhìn. ","Vàng","2024","Đài Loan","Intel UHD Graphics 620","Intel Core i7 8550U, up to 4.0 GHz","8GB","8 GB DDR3L (Onboard), 1866 MHz","8GB 8 GB DDR3L (Onboard), 1866 MHz","256 GB SSD NVMe PCIe","256GB","","Tấm nền IPS","13.3 inches","Tần số quét 60 Hz","1920 x 1080 pixels (FullHD)","Waves MaxxAudio","Vỏ kim loại","302 x 199 x 11.6 mm (Dài x Rộng x Dày)","1.21 kg","Wi-Fi 6, Bảo mật vân tay","Có đèn bàn phím","Bảo mật vân tay","HD webcam","Windows 10 + Office 365 1 năm","4-cell Li-ion","Wi-Fi 802.11 a/b/g/n/ac","Bluetooth 4.1","1x  USB Type-C  2x Thunderbolt 3 (USB-C)  1x Micro SD"
"Văn phòng","Laptop Asus Vivobook Pro M3401QA KM006W",15000000,37,99,"asus","vivobook","1.2","Chip AMD Ryzen 5 - 5600H cùng card AMD Radeon Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS. Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà, mở nhiều trang cùng lúc không bị giật, lag. Độ phân giải cao 2K (Quad HD), màn hình 14.0 inch mang lại chất lượng hiển thị sắc nét, sống động. Tích hợp web cam 720p cho phép đàm thoại thông qua video thoải mái. Năng lượng bất tận cả ngày với viên pin 3-cell Li-ion, 63 Wh. Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo - Nặng 1.4 kg Máy đi kèm Windows 11 bản quyền.","Bạc","2023","Hàn Quốc","AMD Radeon Graphics","AMD Ryzen 5 - 5600H","8GB","DDR4 3200 MHz, Không hỗ trợ nâng cấp","8GB DDR4 3200 MHz, Không hỗ trợ nâng cấp","512 GB SSD NVMe PCIe","512GB","","Tấm nền OLED/AMOLED","14 inches","","2880 x 1800 pixels","Audio by Harman/Kardon","","Dài 317.4 mm - Rộng 228.5 mm - Dày 19.3 mm","1.4 kg","Wi-Fi 6","","","HD 720p","Windows 11 Home SL","3-cell Li-ion, 63 Wh","802.11ax","v5.0","1 x USB 3.2   2 x USB 2.0   1 x HDMI   1 x Jack tai nghe 3.5 mm   1 x USB Type-C  1 x SD"
"Văn phòng","Laptop MSI Modern 14 C13M-609VN",18000000,77,4,"msi","modern",0,"Thiết kế nhỏ gọn với màn hình 14 inch cùng trọng lượng chỉ 1.4 kg CPU Intel Core i5-1335U cho hiệu năng xử lý mọi công việc nhanh chóng RAM 8GB đa nhiệm hỗ trợ mở nhiều tab trình duyệt cùng lúc Không gian lưu trữ thoải mái với 512GB SSD Trang bị đầy đủ cổng kết nối dễ dàng truyền tải dữ liệu chỉ trong vài giây","Bạc","2023","Singapore","Intel Iris Xe Graphics","Intel Core i5-1335U (Up to 4.6GHz, 10 lõi / 12 luồng)","8GB","DDR4 3200MHz Onboard","8GB DDR4 3200MHz Onboard","512GB SSD M.2 PCIe NVMe Gen3 x4","512GB","60Hz","Tấm nền IPS","14 inches","Chống chói, góc mở 180 độ","1920 x 1080 pixels (FullHD)","","","320 x 223 x 19.35 mm","1.4 kg","Wi-Fi 6","Đèn nền trắng","","HD Camera (30FPS 720P)","Windows 11 Home","39Wh","Wi-Fi 6 802.11 ax","Bluetooth 5.2","1 x USB 3.2 Gen2 Type-A 2 x USB 2.0 1 x USB Type-C (Display Port) 1 x HDMI (4K 60Hz) 1 x Đầu đọc thẻ MicroSD 1 x Mic-in/ Headphone-out combo jack"
"Văn phòng","Laptop HP Envy X360 BF0112TU 7C0N9PA",19000000,7,74,"hp","envy",0,"Khối lượng nhẹ chỉ 1.34 kg dễ dàng mang theo nó bất cứ đâu. Màn hình cảm ứng nhỏ gọn 13.3 inch, độ phân giải 2.8K cho màu sắc chân thực, sống động. CPU Intel Core i5 - 1230U đi kèm RAM 16 GB và ổ cứng 512 GB SSD xử lý trơn tru các tác vụ nặng từ làm office đến phần mềm đồ họa cơ bản. Card đồ họa Intel Iris Xe Graphics đáp ứng tốt các nhu cầu đồ họa, thiết kế đồ họa hay chơi game cấu hình nhẹ.","Bạc","2022","Đài Loan","Intel Iris Xe Graphics","Intel Core i5 Alder Lake - 1230U (10 nhân 12 luồng) Xung nhịp 1Ghz - Turbo Boost 4.4 GHz","16GB","LPDDR4X (Onboard)  4266 MHz","16GB LPDDR4X (Onboard)  4266 MHz Không hỗ trợ nâng cấp","512 GB SSD NVMe PCIe","512GB","60 Hz","Tấm nền IPS","13.3 inches","","2880 x 1800 pixels","HP Audio BoostBang & Olufsen audio","","Dài 298.3 mm - Rộng 214.9 mm - Dày 16.1 mm","Nặng 1.34 kg","Wi-Fi 6, Công nghệ Intel Evo, Màn hình Oled","Có","","HP TrueVision 5 MPCamera IR","Windows 11 Home SL","4-cell Li-ion, 66 Wh","Wi-Fi 6E (802.11ax)","Bluetooth 5.2","2 x Thunderbolt 4 with USB-C (USB Power Delivery, DisplayPort 1.4)Jack tai nghe 3.5 mm2x SuperSpeed USB A"
"Gaming","Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K2027QVN",20000000,72,8,"lenovo","ideapad","4.5","Laptop gaming với màn hình 15.6 inch cùng trọng lượng 2.25 kg nhẹ nhàng cho game thủ khi di chuyển CPU Ryzen 5-5500H dù làm việc hay chiến game máy đều xử lý nhanh gọn Card màn hình RTX 2050 mạnh mẽ giúp game thủ tận hưởng hiệu ứng đồ họa mãn nhãn RAM 8GB cùng SSD 512GB NVMe cực nhanh giúp lưu trữ game, mở máy nhanh chóng Tần số quét 144 Hz rất hợp để chơi những tựa game bắn súng FPS như CSGO, Overwatch 2,... giúp tạo nên những pha xử lý chính xác","Đen","2024","Trung Quốc","NVIDIA GeForce RTX 2050 4GB GDDR6","AMD Ryzen 5 5500H (6 lõi / 12 luồng, 3.6 / 4.2GHz, 3MB L2 / 16MB L3)","8GB","SO-DIMM DDR4-3200","8GB SO-DIMM DDR4-3200 2 khe DDR4 SO-DIMM (Nâng cấp tối đa 16GB DDR4-3200)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (1 khe SSD M.2 trống nâng cấp tối đa đến 1TB)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","Âm thanh độ phân giải cao (HD)Realtek ALC3287 codecLoa âm thanh nổi, 2W x2Nahimic Audio","Vỏ nhựa","359.6 x 251.9 x 24.2 mm (W x D x H)","2.25 kg","Wi-Fi 6","Đèn nền trắng","Firmware TPM 2.0","HD 720p với màn trập camera","Windows 11 Home","45Wh","Wi-Fi 6, 11ax 2x2","Bluetooth 5.1","2x USB 3.2 Gen 11x USB-C 3.2 Gen 1 (Chỉ hỗ trợ truyền dữ liệu)1x HDMI 2.01x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)1x Đầu nối nguồn"
"Gaming","Laptop Lenovo LOQ 15IRX9 83DV00D5VN",29290000,33,25,"lenovo","loq","3.5","Trang bị bộ vi xử lý Intel Core i7 giúp xử lý tác vụ nhanh chóng và mượt mà Card đồ họa NVIDIA GeForce RTX 4050 cho trải nghiệm gaming mượt mà với mức đồ họa cao Bộ nhớ RAM 16GB đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời","Xám","2021","Đài Loan","NVIDIA GeForce RTX 4050 6GB GDDR6","Intel Core i7-13650HX (14 nhân/ 20 luồng, upto 4.9GHz, 24MB)","16GB","DDR5-4800","16GB DDR5-4800 1 khe trống (Nâng cấp tối đa 32GB DDR5-4800)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Nâng cấp tối đa 1TB)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng tối đa 300 nits Màn hình chống chói Độ phủ màu 100% sRGB G-SYNC","1920 x 1080 pixels (FullHD)","Âm thanh độ phân giải cao (HD)  codec Realtek ALC3287 Loa âm thanh nổi, 2W x2  Nahimic Audio","Vỏ nhựa","359.86 x 258.7 x 21.9-23.9 mm (W x D x H)","2.38 kg","Wi-Fi 6","Đèn nền RGB 4 vùng","Firmware TPM 2.0 Enabled","FHD 1080p với màn trập riêng tư","Windows 11 Home Single Language","60Wh","Wi-Fi 6, 11ax 2x2","Bluetooth 5.2","3x USB-A 1x USB-C 1x HDMI 1 x Jack cắm tai nghe 1x Ethernet (RJ-45) 1x Power connector"
"Sinh viên","Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002",12000000,35,80,"acer","swift",0,"Thiết kế với trọng lượng nhẹ 1.25 kg dễ dàng mang theo mọi nơi CPU Intel Core i5-1240P mạnh mẽ cân mọi tác vụ làm việc, học tập RAM 16GB đa nhiệm hỗ trợ mở hàng chục tabs web cùng lúc không lo lag, giật Ổ cứng 512GB SSD rộng rãi giúp lưu trữ file, tài liệu thoải mái Trang bị các kết nối như: USB 3.2 Type-A, HDMI và ThunderBolt 4 giúp sao lưu, truyền tải dữ liệu tốc độ cao","Bạc","2022","Đài Loan","Intel Iris Xe Graphics","Intel Core i5-1240P (3.3GHz~ 4.4GHz, 12 lõi / 16 luồng)","16GB","LPDDR4X Onboard","16GB LPDDR4X Onboard","512GB SSD M.2 PCIe","512GB","60 Hz","Tấm nền IPS","14 inches","LED BacklitAcer ComfyView","2560 x 1440 pixels (2K)","2W x 2Acer TrueHarmonyDTS Audio","","321 x 210.8 x 15.9 mm","1.25 kg","Wi-Fi 6, Bảo mật vân tay","Đơn sắc - Màu trắng","","Full HD Webcam","Windows 11 Home","3-cell Li-ion, 56Wh","Intel Wireless Wi-Fi 6E (802.11ax)","Bluetooth v5.2","2x USB 3.2 Gen1 Type-A 2x Thunder Bolt 4 1x HDMI 2.0 1x Mic-in/ Headphone-out combo jack 1x DC-inLAN Gigabit"
"Gaming","Laptop ASUS ROG Strix G16 G614JIR-N4193W",20000000,29,76,"asus","rog","3.0","Bộ vi xử lý Intel Core i9-14900HX, máy mang đến hiệu suất cực kỳ mạnh mẽ, đáp ứng tốt các tác vụ nặng và đa nhiệm. RAM 32GB đảm bảo khả năng xử lý mượt mà ngay cả với các ứng dụng yêu cầu cao về bộ nhớ. Ổ cứng 1TB PCIe cung cấp không gian lưu trữ lớn và tốc độ truy xuất dữ liệu nhanh, lý tưởng cho việc lưu trữ game và dữ liệu lớn. Card đồ họa NVIDIA GeForce RTX 4070 8GB cho phép trải nghiệm đồ họa xuất sắc, với khả năng xử lý ray tracing và AI. Màn hình 16.0 inch WQXGA với tần số quét 240Hz mang lại hình ảnh sắc nét và chuyển động siêu mượt, hoàn hảo cho gaming và xem phim.","Xám","2022","Nhật Bản","NVIDIA GeForce RTX 4070 (321 AI TOPs) 8GB GDDR6","Intel Core i9 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 lõi, 32 luồng)","32GB","DDR5-5600 SO-DIMM","32GB DDR5-5600 SO-DIMM 2x SO-DIMM (Nâng cấp tối đa 32GB)","1TB PCIe 4.0 NVMe M.2 SSD2x DDR5 SO-DIMM slots 2x M.2 PCIe","1TB","240 Hz","Tấm nền IPS","16 inches","Độ sáng 500nitsĐộ phủ màu DCI-P3 100%Màn hình chống chóiG-SyncDolby Vision HDRROG intelligent coolingROG Nebula Display","2560 x 1600 (WQXGA)","Công nghệ chống ồn AI Dolby Atmos Chứng nhận Hi-Res (cho tai nghe) Công nghệ Smart Amp Hỗ trợ Microsoft Cortana trường gần/trường xa","","35.4 x 26.4 x 2.26 ~ 3.04 cm (Dài x Rộng x Dày)","2.50 kg","Wi-Fi 6, MUX Switch","Bàn phím Chiclet có đèn nền RGB cho từng phímAura SyncMUX Switch + NVIDIA Advanced Optimus","Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng Mô-đun nền tảng đáng tin cậy (Phần mềm TPM)","720P HD camera","Windows 11 Home","90WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Triple band) 2*2","Bluetooth 5.3","1x RJ45 LAN 1x Thunderbolt 4 hỗ trợ DisplayPort (40Gbps) 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC) (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL1x Giắc cắm âm thanh kết hợp 3.5 mm"
"Văn phòng","Laptop LG Gram 2023 17ZD90R-G.AX73A5",18000000,54,46,"lg","gram","3.6","Chip i7-1360P cùng  Intel Iris Xe Graphics giúp bạn dễ dàng xử lý các công việc văn phòng RAM 16GB kết hợp cùng ổ cứng SSD 256GB + 1 khe cắm giúp bạn dễ dàng lưu trữ dữ liệu Màn hình 17inch có độ phân giải WQXGA và độ phủ màu DCI-P3 lên đến 99% cho hình ảnh được hiển thị rõ nét Tích hợp Webcam IR FHD IR có hai micrô cho phép bạn thoải mái trò chuyện, video cùng mọi người Thiết kế mỏng nhẹ, sang trọng, trọng lượng chỉ 1.350kg cho phép bạn cất giữ trong balo","Xám","2024","Hàn Quốc","Intel Iris Xe Graphics","Intel Core i7-1360P 2.2 GHz (up to 5.0 GHz, 18MB, 12 lõi/luồng)","16GB","LPDDR5 6000MHz","16GB LPDDR5 6000MHz 1 thanh RAM 16GB","256GB SSD NVMe Gen 4 (1 khe cắm SSD M.2 trống)","256GB","60Hz","Tấm nền IPS","17 inches","Màn hình chống chói Độ sáng 350nits Tần số quét 60HzĐộ phủ màu DCI-P3 99%","2560 x 1600 (WQXGA)","Âm thanh HD cùng với Dolby Atmos","Vỏ kim loại","378.8 x 258.8 x 17.8 mm (Dài x Rộng x Cao)","1.35 kg","Wi-Fi 6","","Bảo mật SSD fTPM/HW TPM","Webcam IR FHD IR có 2 micrô","Không hệ điều hành","80 Wh Li-Ion","Intel Wireless-AX211","BT 5.1","1x Jack cắm tai nghe 2x USB 4 Gen3x2 Type C 1x DC-in2x USB 3.2 Gen2x1 1x HDMI"
"Văn phòng","Laptop LG Gram 2022 17ZD90Q-G.AX73A5",18000000,29,79,"lg","gram",0,"Chip Intel Core I7-1260P cùng card đồ họa Intel Iris Xe Graphics phù hợp cho dân văn phòng, chỉnh sửa ảnh trên PTS  Ram 16GB cùng ổ cứng 256GB SSD + 1 khe cắm - Hiệu năng mượt mà trong mọi tác vụ Màn hình LCD 17.0 inches độ phân giải WQXGA cùng độ phủ màu DCI-P3 lên đến 99% cho chất lượng hiển thị hình ảnh rõ nét Âm thanh HD với DTS X Ultra đem đến trải nghiệm âm thanh chân thật, sống động Tích hợp Webcam IR FHD IR cho phép đàm thoại thông qua video thoải mái Tính năng bảo mật SSD, fTPM/HW TPM, webcam & phím nóng tắt micrô và khóa Kensington mỏng đem lại sự bảo mật riêng tư tuyệt đối cho người dùng Thiết kế vỏ kim loại chắc chắn, nặng 1,350kg thuận tiện mang theo và di chuyển  ","Xám","2021","Đài Loan","Intel Iris Xe Graphics","Intel Core I7-1260P","16GB","LPDDR5 5200MHz","16GB LPDDR5 5200MHz","256GB SSD NVMe PCIE (Hỗ trợ M.2 (2280) hai khe cắm SSD)","256GB","","Tấm nền IPS","17 inches","LGD, Chống lóa mắt, gam màu DCI-P3 99%","2560 x 1600 (WQXGA)","Âm thanh HD với DTS X Ultra","Vỏ kim loại","378,8 x 258,8 x 17,7mm","1,350kg","Wi-Fi 6","","Bảo mật SSD, fTPM/HW TPM (Tùy chọn)  Chế độ bảo mật (Wemcam & Phím nóng tắt micrô)  Khóa Kensington mỏng","Webcam IR FHD IR","Free OS","80 Wh Li-on","Intel Wi-Fi 6E AX211","v5.1","USB 3.2 Gen2x1 (x2)   USB 4 Gen3x2 Type C (x2, có USB PD, Cổng hiển thị, Thunderbolt 4)   1 x HDMI   1 x MicroSD"
"Sinh viên","Laptop ASUS ExpertBook B1 B1502CVA-NJ0149W",12000000,17,73,"asus","expertbook",0,"Máy tính này được trang bị bộ vi xử lý Intel Core i3-1315U đảm bảo hiệu suất xuất sắc trong việc thực hiện nhiều loại tác vụ. Với sự hỗ trợ của 8GB RAM và ổ đĩa SSD có dung lượng 512GB, máy này cung cấp tốc độ và hiệu suất làm việc mượt mà. Màn hình 15.6 inch, độ phân giải Full HD, đem lại trải nghiệm xem phim, lướt web và chỉnh sửa ảnh cơ bản với hình ảnh rõ nét và chất lượng cao. Cấu trúc vỏ máy được thiết kế chắc chắn, mang lại vẻ đẹp sang trọng cùng độ bền cao.","Đen","2022","Đài Loan","Intel UHD Graphics","Intel Core i3-1315U (1.2 GHz, 10M Cache, up to 4.5 GHz, 6 lõi)","8GB","DDR4 Onboard","8GB DDR4 Onboard","512GB M.2 2280 NVMe PCIe 4.0 SSD","512GB","60 Hz","Tấm nền TN","15.6 inches","Độ sáng 250 nits  Độ phủ màu NTSC: 45% Màn hình chống chóiTỷ lệ tương phản 500:1Góc nhìn: 90/65 Thời gian phản hồi:  20/10 ms 16:9","1920 x 1080 pixels (FullHD)","Âm thanh Dirac Loa tích hợp Micrô mảng tích hợp","Vỏ nhựa","36.16 x 23.30 x 1.99 cm (W x H x D)","1.69 kg","Wi-Fi 6, Bảo mật vân tay","","Cảm biến vân tay tích hợp Touchpad Khe bảo mật Kensington Nano Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Máy tính đã sẵn sàng từ BIOS Bảo vệ và bảo mật mật khẩu người dùng HDD Mô-đun nền tảng đáng","720p HD với màn trập camera","Windows 11 Home","42WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6 (802.11ax) (Dual band) 2*2","Bluetooth 5.2","1x USB 2.0 Loại A 1x USB 3.2 Gen 1 Loại A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 2 Type-C h 1x HDMI 1.4 1x Giắc âm thanh 1x RJ45 Gigabit Ethernet"
"Văn phòng","Laptop ASUS ExpertBook B1 B1402CVA-NK0176W",19000000,10,74,"asus","expertbook","3.9","Hiệu quả trong việc thực hiện các tác vụ cơ bản và nâng cao được đảm bảo nhờ vào khả năng của CPU Intel Core i5 Sự kết hợp giữa RAM 16GB và ổ cứng SSD có dung lượng 512GB mang lại hiệu suất cao và trải nghiệm sử dụng mượt mà Màn hình 14 inch với độ phân giải Full HD cung cấp một trải nghiệm rõ nét và sinh động khi xem phim, duyệt web và thực hiện chỉnh sửa ảnh cơ bản Cấu trúc bên ngoài của máy được thiết kế tỉ mỉ, mang lại một vẻ ngoài vừa vững chãi, vừa cao cấp và bền bỉ.","Đen","2023","Nhật Bản","Intel UHD Graphics","Intel Core i5-1335U (1.3 GHz, 12M Cache, up to 4.6 GHz, 10 lõi)","16GB","DDR4 Onboard","16GB DDR4 Onboard","512GB M.2 2280 NVMe PCIe 4.0 SSD","512GB","60 Hz","Tấm nền TN","14 inches","LED Backlit Độ sáng 250nits Độ phủ màu NTSC: 45% Góc nhìn (H/V) 90/65 Thời gian phản hồi (Typ/Max) (ms) 10/20 Độ tương phản 500:1 Màn hình 16:9Màn hình chống chói","1920 x 1080 pixels (FullHD)","Âm thanh Dirac Loa tích hợp","Vỏ nhựa","32.69 x 21.45 x 1.99 cm (W x H x D)","1.46 kg","Wi-Fi 6, Bảo mật vân tay","","Cảm biến vân tay Khe bảo mật Kensington Nano (6x 2,5mm) Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Máy tính đã sẵn sàng từ BIOS Bảo vệ và bảo mật mật khẩu người dùng HDD Mô-đun nền tảng (TPM) 2.0","720p HD với màn trập camera","Windows 11 Home","42WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6 (802.11ax)","Bluetooth 5.2","1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C  1x USB 3.2 Gen 2 Type-C  1x HDMI 1x Jack cắm âm thanh 1x RJ45 Gigabit Ethernet"
